season,team,bbrID,reason,dpm,amount,relation,round,game,mp,mpSeason
2005,SEA,allenra02,Low Minutes,3.10567,0.67,opponent,2,1,12.88,39.3
2005,SEA,radmavl01,Low Minutes,1.18052,0.67,opponent,2,1,9.63,29.5
2005,SAS,nestera01,Low Minutes,1.56682,0.95,winner,2,2,1.15,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.83,winner,2,3,4.42,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.83,winner,3,1,4.38,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.87,winner,3,2,3.32,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.91,winner,3,3,2.4,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.98,winner,4,1,0.58,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.87,winner,4,2,3.43,25.5
2005,SAS,nestera01,Low Minutes,1.56682,0.70,winner,4,3,7.63,25.5
2006,DEN,martike01,Low Minutes,1.54261,0.75,other,1,2,6.92,27.6
2006,MEM,jonesed02,Low Minutes,2.92636,0.85,other,1,4,4.73,32.5
2006,CHI,chandty01,Low Minutes,1.47142,0.82,opponent,1,5,4.88,26.8
2006,MIA,mournal01,Low Minutes,2.37347,0.81,winner,1,6,3.72,20
2006,MIA,mournal01,Low Minutes,2.37347,0.66,winner,2,1,6.73,20
2006,DAL,howarjo01,Low Minutes,2.52791,0.82,other,3,1,5.98,32.5
2006,MIA,mournal01,Low Minutes,2.37347,0.66,winner,3,3,6.75,20
2006,MIA,mournal01,Low Minutes,2.37347,0.73,winner,4,1,5.33,20
2006,MIA,mournal01,Low Minutes,2.37347,0.79,winner,4,5,4.18,20
2007,GSW,biedran01,Low Minutes,1.00879,0.73,other,1,1,7.85,29
2007,DAL,dampier01,Low Minutes,1.11392,0.91,other,1,1,2.35,25.2
2007,DAL,dampier01,Low Minutes,1.11392,0.95,other,1,4,1.35,25.2
2007,DAL,dampier01,Low Minutes,1.11392,0.71,other,1,5,7.22,25.2
2007,DET,mcdyean01,Low Minutes,1.21102,0.81,other,3,5,4.05,21.1
2008,TOR,moonja01,Low Minutes,1.79504,0.83,other,1,1,4.8,27.8
2008,WAS,arenagi01,Low Minutes,3.73796,0.69,other,1,3,10.03,32.7
2008,DET,billuch01,Low Minutes,3.09206,0.88,other,2,3,3.82,32.3
2009,MIA,moonja01,Low Minutes,1.10413,0.73,other,1,1,7.1,25.9
2009,CLE,wallabe01,Low Minutes,2.24987,0.68,other,1,2,7.53,23.5
2009,MIA,moonja01,Low Minutes,1.10413,0.80,other,1,3,5.18,25.9
2009,DAL,howarjo01,Low Minutes,2.58962,0.80,other,2,2,6.35,32
2009,CLE,wallabe01,Low Minutes,2.24987,0.71,other,2,2,6.93,23.5
2010,BOS,perkike01,Low Minutes,1.464,0.76,opponent,4,6,6.5,27.6
2011,DEN,smithjr01,Low Minutes,2.07138,0.73,other,1,2,6.7,24.9
2011,BOS,onealsh01,Low Minutes,1.55448,0.83,other,2,4,3.52,20.3
2012,CHI,korveky01,Low Minutes,1.34304,0.72,other,1,5,6.27,22.6
2012,CHI,korveky01,Low Minutes,1.34304,0.76,other,1,6,5.32,22.6
2012,SAS,bonnema01,Low Minutes,2.70632,0.89,other,3,4,2.18,20.4
2012,SAS,greenda02,Low Minutes,2.01363,0.84,other,3,5,3.78,23.1
2012,SAS,bonnema01,Low Minutes,2.70632,0.96,other,3,5,0.83,20.4
2012,SAS,greenda02,Low Minutes,2.01363,0.84,other,3,6,3.73,23.1
2013,SAS,splitti01,Low Minutes,2.75002,0.67,opponent,4,6,8.22,24.7
2013,SAS,splitti01,Low Minutes,2.75002,0.83,opponent,4,7,4.28,24.7
2014,CHA,tollian01,Low Minutes,1.02179,0.75,other,1,1,5.07,20.3
2014,CHA,tollian01,Low Minutes,1.02179,0.87,other,1,3,2.62,20.3
2014,CHA,tollian01,Low Minutes,1.02179,0.72,other,1,4,5.72,20.3
2015,NOP,evansty01,Low Minutes,1.12058,0.66,opponent,1,1,11.57,34.1
2015,BOS,olynyke01,Low Minutes,1.46281,0.88,other,1,3,2.68,22.2
2015,CLE,loveke01,Low Minutes,2.51716,0.80,other,1,4,6.63,33.8
2015,CHI,mirotni01,Low Minutes,1.85314,0.88,other,2,1,2.42,20.2
2015,CLE,irvinky01,Low Minutes,2.51397,0.67,other,2,6,12.17,36.4
2015,MEM,allento01,Low Minutes,2.34811,0.79,opponent,2,6,5.48,26.2
2015,GSW,bogutan01,Low Minutes,2.32297,0.88,winner,4,4,2.77,23.6
2016,MIA,whiteha01,Low Minutes,1.28443,0.71,other,2,3,8.43,29.1
2017,UTA,goberru01,Low Minutes,3.46006,0.99,other,1,1,0.28,33.9
2017,BOS,johnsam01,Low Minutes,2.85381,0.70,other,1,3,5.95,20.1
2017,TOR,pattepa01,Low Minutes,1.85404,0.68,other,1,4,7.8,24.6
2017,UTA,haywago01,Low Minutes,2.78323,0.73,other,1,4,9.2,34.5
2017,BOS,johnsam01,Low Minutes,2.85381,0.78,other,2,2,4.52,20.1
2017,TOR,carrode01,Low Minutes,1.26331,0.84,other,2,3,4.27,26.1
2017,TOR,carrode01,Low Minutes,1.26331,0.78,other,2,4,5.87,26.1
2017,BOS,johnsam01,Low Minutes,2.85381,0.77,other,3,1,4.55,20.1
2017,BOS,johnsam01,Low Minutes,2.85381,0.68,other,3,5,6.4,20.1
2018,TOR,vanvlfr01,Low Minutes,2.01527,0.86,other,1,2,2.82,20
2018,MIA,richajo01,Low Minutes,1.5616,0.78,other,1,5,7.37,33.2
2018,UTA,rubiori01,Low Minutes,2.84699,0.76,other,1,6,7.13,29.3
2018,CLE,nancela02,Low Minutes,1.64207,0.88,other,2,2,2.57,21.5
2018,CLE,nancela02,Low Minutes,1.64207,0.74,other,2,4,5.67,21.5
2018,CLE,nancela02,Low Minutes,1.64207,0.82,other,3,1,3.88,21.5
2018,HOU,mbahalu01,Low Minutes,1.65739,0.73,opponent,3,2,6.88,25.6
2018,CLE,loveke01,Low Minutes,1.08951,0.82,other,3,6,5.03,28
2019,GSW,couside01,Low Minutes,2.15872,0.85,other,1,2,3.85,25.7
2019,POR,aminual01,Low Minutes,1.96182,0.75,other,2,7,7.13,28.3
2019,GSW,couside01,Low Minutes,2.15872,0.69,opponent,4,1,8.07,25.7
2020,IND,oladivi01,Low Minutes,2.27561,0.69,other,1,1,8.57,27.8
2020,TOR,lowryky01,Low Minutes,4.04065,0.75,other,1,4,9.2,36.2
2021,LAC,ibakase01,Low Minutes,1.02284,0.76,other,1,2,5.58,23.3
2021,LAC,beverpa01,Low Minutes,1.95488,0.75,other,1,3,5.63,22.5
2021,MEM,clarkbr01,Low Minutes,1.05978,0.72,other,1,3,6.67,24
2021,LAC,beverpa01,Low Minutes,1.95488,0.77,other,1,4,5.08,22.5
2021,LAC,beverpa01,Low Minutes,1.95488,0.99,other,1,5,0.18,22.5
2021,MEM,clarkbr01,Low Minutes,1.05978,0.88,other,1,5,2.8,24
2021,LAL,davisan02,Low Minutes,3.84053,0.83,other,1,6,5.42,32.3
2021,LAC,zubaciv01,Low Minutes,1.09889,0.77,other,1,6,5.18,22.3
2021,BRK,hardeja01,Low Minutes,4.9127,0.98,opponent,2,1,0.72,36.6
2021,LAC,zubaciv01,Low Minutes,1.09889,0.88,other,1,7,2.6,22.3
2021,LAC,beverpa01,Low Minutes,1.95488,0.73,other,2,1,6.15,22.5
2021,PHI,greenda02,Low Minutes,2.36316,0.87,other,2,3,3.75,28
2021,DEN,millspa01,Low Minutes,1.73795,0.67,other,2,3,6.82,20.8
2021,LAC,zubaciv01,Low Minutes,1.09889,0.74,other,2,6,5.87,22.3
2022,MIA,martica02,Low Minutes,1.26533,0.78,other,1,1,4.97,22.9
2022,MEM,adamsst01,Low Minutes,1.99079,0.89,other,1,2,2.83,26.3
2022,MEM,meltode01,Low Minutes,2.00039,0.70,other,1,3,6.8,22.7
2022,MIA,martica02,Low Minutes,1.26533,0.96,other,1,3,0.82,22.9
2022,MEM,meltode01,Low Minutes,2.00039,0.67,other,1,4,7.45,22.7
2022,MEM,adamsst01,Low Minutes,1.99079,0.86,other,1,4,3.68,26.3
2022,MEM,brookdi01,Low Minutes,1.14404,0.90,opponent,2,2,2.87,27.7
2022,MIA,martica02,Low Minutes,1.26533,0.91,other,2,3,2.08,22.9
2022,MEM,adamsst01,Low Minutes,1.99079,0.79,opponent,2,3,5.62,26.3
2022,MIA,martica02,Low Minutes,1.26533,0.99,other,2,4,0.13,22.9
2022,MIA,martica02,Low Minutes,1.26533,0.76,other,2,6,5.42,22.9
2022,PHI,greenda02,Low Minutes,1.90043,0.86,other,2,6,3.1,21.8
2022,GSW,porteot01,Low Minutes,2.32677,0.69,winner,3,3,6.82,22.2
2023,MIL,antetgi01,Low Minutes,6.30307,0.66,other,1,1,10.83,32.1
2023,NYK,quickim01,Low Minutes,2.27698,0.68,other,2,2,9.3,28.9
2023,NYK,hartjo01,Low Minutes,1.75488,0.72,other,2,5,9.05,32.3
2024,PHI,meltode01,Low Minutes,1.34812,0.73,other,1,4,7.18,26.9
2024,NYK,anunoog01,Low Minutes,2.83657,0.86,other,2,7,4.68,34
2024,BOS,pritcpa01,Low Minutes,1.07974,0.94,winner,4,5,1.42,22.3
2025,ORL,bitadgo01,Low Minutes,1.35976,0.94,other,1,1,1.23,20.4
2025,OKC,wiggiaa01,Low Minutes,1.57621,0.68,winner,1,2,7.43,22.9
2025,GSW,butleji01,Low Minutes,3.00273,0.75,other,1,2,7.87,31.7
2025,OKC,wiggiaa01,Low Minutes,1.57621,0.71,winner,1,3,6.55,22.9
2025,MIL,lillada01,Low Minutes,1.80544,0.83,other,1,4,6.05,36.1
2025,ORL,bitadgo01,Low Minutes,1.35976,0.88,other,1,5,2.38,20.4
2025,OKC,joeis01,Low Minutes,1.43138,0.85,winner,2,3,3.17,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.76,winner,2,5,5.23,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.84,winner,2,7,3.55,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.86,winner,3,2,3.03,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.75,winner,3,5,5.53,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.70,winner,4,2,6.45,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.81,winner,4,3,4.22,21.7
2025,OKC,joeis01,Low Minutes,1.43138,0.79,winner,4,4,4.55,21.7
2025,IND,halibty01,Low Minutes,2.48919,0.79,opponent,4,7,7.08,33.6
2026,MIN,divindo01,Low Minutes,1.21445,0.96,other,1,4,1.32,30.4
2026,OKC,joeis01,Low Minutes,1.16299,0.99,other,3,1,0.27,21.2
2026,OKC,willija06,Low Minutes,1.96108,0.74,other,3,2,7.3,28.4
2026,OKC,joeis01,Low Minutes,1.16299,0.92,other,3,5,1.77,21.2
