season,team,bbrID,reason,dpm,amount,relation,round,game,mp,mpSeason
2001,TOR,willije01,Low Minutes,1.71164,0.85,other,2,1,2.93,20
2001,PHI,lynchge01,Low Minutes,1.2255,0.76,opponent,4,4,7.7,32.3
2001,PHI,lynchge01,Low Minutes,1.2255,0.82,opponent,4,5,5.7,32.3
2002,CHH,mashbja01,Low Minutes,1.15064,0.74,other,1,1,10.33,40
2002,SAS,robinda01,Low Minutes,4.34866,0.76,other,1,1,7.18,29.5
2002,MIN,smithjo02,Low Minutes,1.85416,0.72,other,1,1,7.53,26.7
2002,SAC,pollasc01,Low Minutes,2.16147,0.83,other,2,1,4.07,23.5
2002,DET,barryjo01,Low Minutes,1.72165,0.82,other,2,3,4.37,24.2
2002,SAC,pollasc01,Low Minutes,2.16147,0.82,other,2,5,4.25,23.5
2002,SAC,pollasc01,Low Minutes,2.16147,0.72,opponent,3,3,6.6,23.5
2003,SAC,webbech01,Low Minutes,3.44129,0.68,other,1,2,12.55,39.1
2003,POR,anderde01,Low Minutes,1.3879,0.91,other,1,2,2.87,33.6
2003,MIN,smithjo02,Low Minutes,1.58963,0.79,other,1,3,4.42,20.7
2003,NJN,mutomdi01,Low Minutes,1.36351,0.77,other,1,3,5,21.4
2003,PHO,outlabo01,Low Minutes,2.19511,0.89,opponent,1,3,2.53,22.5
2003,MIN,smithjo02,Low Minutes,1.58963,0.78,other,1,4,4.52,20.7
2003,IND,millebr01,Low Minutes,2.5793,0.67,other,1,5,10.27,31.1
2003,MIN,smithjo02,Low Minutes,1.58963,0.81,other,1,5,3.98,20.7
2003,UTA,ostergr01,Low Minutes,2.41821,0.76,other,1,5,5.6,23.8
2003,DET,willico02,Low Minutes,1.01695,0.71,other,1,6,7.4,25.1
2003,POR,pippesc01,Low Minutes,2.02226,0.78,other,1,6,6.58,29.9
2003,DAL,bradlsh01,Low Minutes,3.45066,0.77,other,2,1,4.98,21.4
2003,DET,willico02,Low Minutes,1.01695,0.77,other,2,2,5.88,25.1
2003,NJN,mutomdi01,Low Minutes,1.36351,0.86,other,2,3,2.98,21.4
2003,DET,willico02,Low Minutes,1.01695,0.66,other,2,3,8.42,25.1
2003,DAL,bradlsh01,Low Minutes,3.45066,0.98,other,2,3,0.38,21.4
2003,DET,willico02,Low Minutes,1.01695,0.72,other,2,5,7,25.1
2003,DAL,bradlsh01,Low Minutes,3.45066,0.67,other,2,6,6.97,21.4
2003,DAL,bradlsh01,Low Minutes,3.45066,0.73,opponent,3,2,5.88,21.4
2003,DAL,bradlsh01,Low Minutes,3.45066,0.81,opponent,3,3,4.05,21.4
2003,NJN,mutomdi01,Low Minutes,1.36351,0.71,opponent,4,1,6.13,21.4
2003,NJN,mutomdi01,Low Minutes,1.36351,0.68,opponent,4,5,6.9,21.4
2004,SAC,divacvl01,Low Minutes,2.59256,0.87,other,1,5,3.65,28.6
2004,MIN,cassesa01,Low Minutes,2.43886,0.98,other,3,2,0.72,35
2004,MIN,cassesa01,Low Minutes,2.43886,0.86,other,3,4,4.93,35
2004,IND,fosteje01,Low Minutes,2.19748,0.87,opponent,3,4,3.05,23.9
2004,IND,fosteje01,Low Minutes,2.19748,0.85,opponent,3,5,3.57,23.9
2004,IND,tinslja01,Low Minutes,1.60286,0.87,opponent,3,6,3.53,26.5
2004,IND,fosteje01,Low Minutes,2.19748,0.90,opponent,3,6,2.37,23.9
2005,SAC,millebr01,Low Minutes,3.7434,0.76,other,1,1,9.07,37.3
2005,IND,fosteje01,Low Minutes,2.37645,0.69,other,1,2,8.22,26.1
2005,MEM,cardibr01,Low Minutes,1.30514,0.74,other,1,4,6.48,24.7
2005,SAS,nestera01,Low Minutes,1.56682,0.95,winner,1,5,1.2,25.5
