season,winner,gameCount,winnerGameCount,dnpCount,dnpCountDpmGt0,dnpCountDpmGte1,oppDpmGt0,oppDpmGte1,winnerDpmGt0,winnerDpmGte1,winnerLowMinutesDPMGte1,oppLowMinutesDPMGte1,fieldDpmGt0,fieldDpmGte1,fieldLowMinutesDPMGte1,winnerTotal,oppTotal,netReg,netLow
2001,LAL,71,16,310,50,21,10.25,9.04,1.20,0.00,0.00,1.94,49.15,36.84,3.39,0,10.979999999999999,-9.04,-10.979999999999999
2002,LAL,71,19,334,30,26,15.87,15.87,0.00,0.00,0.00,1.56,65.41,64.08,12.03,0,17.43,-15.87,-17.43
2003,SAS,88,24,356,53,46,28.10,27.19,3.68,3.68,0.00,9.16,106.96,102.96,35.17,3.68,36.35,-23.51,-32.67
2004,DET,82,23,314,43,8,1.41,1.41,0.84,0.00,0.00,7.15,38.84,17.84,13.89,0,8.56,-1.41,-8.56
2005,SAS,84,23,369,50,38,18.84,18.24,12.53,12.53,12.36,2.87,86.09,81.89,20.68,24.89,21.11,-5.709999999999999,3.780000000000001
2006,MIA,89,23,595,85,37,0.04,0.00,5.88,4.75,8.66,1.21,83.15,53.10,15.59,13.41,1.21,4.75,12.2
2007,SAS,79,20,746,62,12,9.09,8.08,1.77,0.00,0.00,0.00,42.16,26.67,4.58,0,8.08,-8.08,-8.08
2008,BOS,86,26,742,84,52,14.90,14.05,1.63,0.00,0.00,0.00,100.24,84.52,6.79,0,14.05,-14.05,-14.05
2009,LAL,85,23,727,124,84,34.70,32.35,2.20,2.20,0.00,0.00,267.38,251.75,6.89,2.2,32.35,-30.150000000000002,-30.150000000000002
2010,LAL,82,23,635,71,38,14.70,9.33,0.00,0.00,0.00,1.11,103.15,88.21,1.11,0,10.44,-9.33,-10.44
2011,DAL,81,21,785,94,28,14.89,12.18,15.97,0.00,0.00,0.00,86.49,54.77,2.80,0,12.18,-12.18,-12.18
2012,MIA,84,23,745,117,56,17.60,16.84,33.28,25.76,0.00,0.00,144.50,119.40,10.38,25.76,16.84,8.920000000000002,8.920000000000002
2013,MIA,85,23,769,122,66,38.44,38.41,8.03,6.27,0.00,4.13,195.15,175.62,4.13,6.27,42.54,-32.14,-36.269999999999996
2014,SAS,89,23,751,77,38,8.19,6.19,1.02,1.02,0.00,0.00,92.38,77.27,2.39,1.02,6.19,-5.17,-5.17
2015,GSW,81,21,761,138,88,49.78,46.92,8.95,4.65,2.04,2.59,209.84,192.18,11.25,6.69,49.510000000000005,-42.27,-42.82000000000001
2016,CLE,86,21,676,118,62,15.52,15.06,3.54,2.44,0.00,0.00,190.80,165.73,0.91,2.44,15.06,-12.620000000000001,-12.620000000000001
2017,GSW,79,17,633,76,48,33.61,32.53,16.70,16.25,0.00,0.00,143.98,130.79,17.13,16.25,32.53,-16.28,-16.28
2018,GSW,82,21,730,180,103,78.79,77.16,63.28,52.66,0.00,1.21,334.59,293.60,11.22,52.66,78.36999999999999,-24.5,-25.709999999999994
2019,TOR,82,24,696,95,65,28.59,28.59,0.00,0.00,0.00,1.49,189.72,174.08,4.80,0,30.08,-28.59,-30.08
2020,LAL,83,21,1003,129,54,9.67,8.18,1.70,0.00,0.00,0.00,136.96,106.85,4.60,0,8.18,-8.18,-8.18
2021,MIL,85,23,998,162,82,37.44,29.24,30.17,15.48,0.00,4.81,258.73,216.72,22.66,15.48,34.05,-13.759999999999998,-18.569999999999997
2022,GSW,87,22,738,169,92,28.54,26.23,18.79,18.79,1.61,2.60,214.83,195.56,17.63,20.4,28.830000000000002,-7.440000000000001,-8.430000000000003
2023,DEN,84,20,805,103,40,19.90,17.62,0.00,0.00,0.00,0.00,146.47,121.54,6.97,0,17.62,-17.62,-17.62
2024,BOS,82,19,801,166,94,46.12,44.49,45.13,40.00,1.01,0.00,275.68,239.06,4.44,41.01,44.49,-4.490000000000002,-3.480000000000004
2025,OKC,84,23,750,127,48,20.52,12.46,20.47,15.57,11.29,1.97,144.55,100.53,19.49,26.86,14.430000000000001,3.1099999999999994,12.429999999999998
2026,NYK,85,19,654,149,84,5.09,3.51,8.65,8.60,0.00,0.00,234.11,201.48,4.84,8.6,3.51,5.09,5.09
