season,team,bbrID,reason,dpm,amount,relation,round,game,mp,mpSeason
2001,LAL,harpero01,Did Not Dress,0.120206,1,winner,1,1,,
2001,LAL,harpero01,Did Not Dress,0.120206,1,winner,1,2,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,1,3,,
2001,POR,davisda01,Player Suspended,0.298048,1,opponent,1,3,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,2,1,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,2,3,,
2001,SAC,barryjo01,Did Not Play,0.65909,1,opponent,2,4,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,3,1,,
2001,SAS,anderde01,Did Not Dress,2.68257,1,opponent,3,1,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,3,2,,
2001,SAS,anderde01,Did Not Dress,2.68257,1,opponent,3,2,,
2001,SAS,elliose01,Did Not Play,0.249466,1,opponent,3,3,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,3,3,,
2001,PHI,lynchge01,Did Not Dress,1.2255,1,opponent,4,1,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,4,1,,
2001,PHI,lynchge01,Did Not Dress,1.2255,1,opponent,4,2,,
2001,LAL,harpero01,Did Not Play,0.120206,1,winner,4,3,,
2001,PHI,lynchge01,Did Not Dress,1.2255,1,opponent,4,3,,
2002,SAS,robinda01,Did Not Dress,4.34866,1,opponent,2,1,,
2002,SAS,robinda01,Did Not Dress,4.34866,1,opponent,2,2,,
2002,SAC,stojape01,Did Not Dress,1.79329,1,opponent,3,1,,
2002,SAC,stojape01,Did Not Dress,1.79329,1,opponent,3,2,,
2002,SAC,stojape01,Did Not Dress,1.79329,1,opponent,3,3,,
2002,SAC,stojape01,Did Not Dress,1.79329,1,opponent,3,4,,
2003,SAS,robinda01,Did Not Dress,3.68258,1,winner,1,2,,
2003,LAL,georgde01,Did Not Dress,0.381124,1,opponent,2,2,,
2003,DAL,najered01,Did Not Play,0.528406,1,opponent,3,2,,
2003,DAL,bradlsh01,Did Not Dress,3.45066,1,opponent,3,4,,
2003,DAL,nowitdi01,Did Not Dress,5.6117,1,opponent,3,4,,
2003,DAL,bradlsh01,Did Not Dress,3.45066,1,opponent,3,5,,
2003,DAL,nowitdi01,Did Not Dress,5.6117,1,opponent,3,5,,
2003,DAL,bradlsh01,Did Not Play,3.45066,1,opponent,3,6,,
2003,DAL,nowitdi01,Did Not Dress,5.6117,1,opponent,3,6,,
2004,DET,willico02,Did Not Play,0.446499,1,winner,1,5,,
2004,DET,okurme01,Did Not Play,0.394783,1,winner,4,4,,
2004,LAL,malonka01,Did Not Dress,1.41407,1,opponent,4,5,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,1,1,,
2005,DEN,johnsde03,Did Not Play,0.597747,1,opponent,1,5,,
2005,SEA,radmavl01,Did Not Dress,1.18052,1,opponent,2,2,,
2005,SEA,radmavl01,Inactive,1.18052,1,opponent,2,3,,
2005,SEA,lewisra02,Inactive,3.25368,1,opponent,2,4,,
2005,SEA,radmavl01,Inactive,1.18052,1,opponent,2,4,,
2005,SEA,lewisra02,Did Not Dress,3.25368,1,opponent,2,5,,
2005,SEA,radmavl01,Not With Team,1.18052,1,opponent,2,5,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,2,5,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,2,6,,
2005,SEA,lewisra02,Inactive,3.25368,1,opponent,2,6,,
2005,SEA,radmavl01,Inactive,1.18052,1,opponent,2,6,,
2005,PHO,johnsjo02,Did Not Dress,1.28923,1,opponent,3,1,,
2005,PHO,johnsjo02,Did Not Dress,1.28923,1,opponent,3,2,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,3,4,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,3,5,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,4,5,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,4,6,,
2005,SAS,nestera01,Did Not Play,1.56682,1,winner,4,7,,
2006,MIA,mournal01,Did Not Dress,2.37347,1,winner,1,1,,
2006,MIA,hasleud01,Player Suspended,0.262924,1,winner,1,2,,
2006,MIA,mournal01,Inactive,2.37347,1,winner,1,2,,
2006,MIA,poseyja01,Player Suspended,0.867162,1,winner,1,4,,
2006,DAL,vanhoke01,Did Not Play,0.0352187,1,opponent,4,6,,
2007,DEN,martike01,Inactive,1.30353,1,opponent,1,1,,
2007,DEN,martike01,Inactive,1.30353,1,opponent,1,2,,
2007,DEN,martike01,Inactive,1.30353,1,opponent,1,3,,
2007,DEN,martike01,Inactive,1.30353,1,opponent,1,4,,
2007,DEN,smithjr01,Did Not Play,0.127312,1,opponent,1,5,,
2007,DEN,martike01,Inactive,1.30353,1,opponent,1,5,,
2007,SAS,horryro01,Player Suspended,0.883095,1,winner,2,5,,
2007,PHO,diawbo01,Player Suspended,0.0742694,1,opponent,2,5,,
2007,PHO,stoudam01,Player Suspended,1.56069,1,opponent,2,5,,
2007,SAS,horryro01,Did Not Play,0.883095,1,winner,2,6,,
2007,UTA,brewero02,Did Not Play,0.214987,1,opponent,3,1,,
2007,UTA,brewero02,Did Not Play,0.214987,1,opponent,3,2,,
2007,CLE,hughela01,Inactive,0.190431,1,opponent,4,3,,
2007,CLE,hughela01,Inactive,0.190431,1,opponent,4,4,,
2008,BOS,powele01,Did Not Play,0.300591,1,winner,2,6,,
2008,CLE,gibsoda01,Inactive,0.423643,1,opponent,2,6,,
2008,CLE,gibsoda01,Inactive,0.423643,1,opponent,2,7,,
