season,gameCount,dnpCount,dnpCountDpmGt0,dnpCountDpmGte1,oppDpmTotalGte1
2001,71,310,43,8,18.9
2002,71,334,46,19,53.9
2003,88,356,56,35,82.5
2004,82,314,37,7,15.6
2005,84,369,53,33,59.2
2006,89,595,78,38,53.6
2007,79,746,78,28,46.0
2008,86,742,97,54,84.7
2009,85,727,125,84,249.3
2010,82,635,71,33,83.9
2011,81,785,80,28,57.3
2012,84,745,118,57,94.6
2013,85,769,108,66,167.0
2014,89,751,79,37,79.6
2015,81,761,128,88,184.7
2016,86,676,116,66,159.5
2017,79,633,77,47,111.9
2018,82,730,173,95,222.7
2019,82,696,101,66,167.3
2020,83,1003,111,54,109.2
2021,85,998,156,82,209.7
2022,87,738,152,86,163.6
2023,84,805,126,39,116.4
2024,82,801,151,94,204.8
2025,84,750,124,47,83.0
2026,78,592,127,65,161.1
