season,team,bbrID,reason,dpm,relation,round,game
2001,MIL,hamda01,Did Not Play,0.04,other,1,1
2001,TOR,willije01,Did Not Play,2.01,other,1,1
2001,MIL,hamda01,Did Not Play,0.04,other,1,2
2001,CHH,burresc01,Did Not Play,0.62,other,1,3
2001,MIA,hardati01,Inactive,0.76,other,1,3
2001,ORL,reiddo01,Did Not Play,0.07,other,1,3
2001,NYK,cambyma01,Not With Team,0.42,other,1,3
2001,TOR,petermo01,Did Not Play,0.03,other,1,3
2001,TOR,petermo01,Did Not Play,0.03,other,1,5
2001,CHH,burresc01,Did Not Play,0.62,other,2,1
2001,SAS,anderde01,Did Not Dress,2.32,other,2,2
2001,CHH,burresc01,Did Not Play,0.62,other,2,2
2001,SAS,anderde01,Did Not Dress,2.32,other,2,3
2001,TOR,petermo01,Did Not Play,0.03,other,2,2
2001,CHH,burresc01,Did Not Play,0.62,other,2,3
2001,SAS,anderde01,Did Not Dress,2.32,other,2,4
2001,CHH,burresc01,Did Not Play,0.62,other,2,4
2001,SAC,barryjo01,Did Not Play,0.38,opponent,2,4
2001,TOR,petermo01,Did Not Play,0.03,other,2,4
2001,SAS,anderde01,Did Not Dress,2.32,other,2,5
2001,CHH,burresc01,Did Not Play,0.62,other,2,5
2001,PHI,lynchge01,Did Not Dress,0.82,other,2,5
2001,CHH,burresc01,Did Not Play,0.62,other,2,6
2001,PHI,lynchge01,Not With Team,0.82,other,2,6
2001,SAS,anderde01,Did Not Dress,2.32,opponent,3,1
2001,CHH,burresc01,Did Not Play,0.62,other,2,7
2001,MIL,hamda01,Did Not Play,0.04,other,2,7
2001,PHI,lynchge01,Did Not Dress,0.82,other,2,7
2001,SAS,anderde01,Did Not Dress,2.32,opponent,3,2
2001,PHI,lynchge01,Did Not Dress,0.82,other,3,1
2001,PHI,lynchge01,Did Not Dress,0.82,other,3,2
2001,SAS,elliose01,Did Not Play,0.1,opponent,3,3
2001,PHI,iversal01,Not With Team,2.93,other,3,3
2001,PHI,lynchge01,Not With Team,0.82,other,3,3
2001,PHI,lynchge01,Not With Team,0.82,other,3,4
2001,MIL,hamda01,Did Not Play,0.04,other,3,4
2001,PHI,lynchge01,Did Not Dress,0.82,other,3,5
2001,PHI,lynchge01,Did Not Dress,0.82,other,3,6
2001,MIL,willisc01,Player Suspended,0.2,other,3,7
2001,PHI,lynchge01,Did Not Dress,0.82,other,3,7
2001,PHI,lynchge01,Did Not Dress,0.82,opponent,4,1
2001,PHI,lynchge01,Did Not Dress,0.82,opponent,4,2
2001,PHI,lynchge01,Did Not Dress,0.82,opponent,4,3
2002,BOS,brownke01,Did Not Play,0.49,other,1,1
2002,DAL,bradlsh01,Did Not Play,2.97,other,1,1
2002,SEA,willish01,Did Not Play,0.31,other,1,2
2002,SAS,robinda01,Not With Team,4.27,other,1,2
2002,ORL,declean01,Did Not Play,1.23,other,1,2
2002,CHH,mashbja01,Did Not Dress,0.79,other,1,2
2002,BOS,brownke01,Did Not Play,0.49,other,1,2
2002,CHH,mashbja01,Not With Team,0.79,other,1,3
2002,BOS,brownke01,Did Not Play,0.49,other,1,3
2002,CHH,mashbja01,Not With Team,0.79,other,1,4
2002,ORL,declean01,Did Not Play,1.23,other,1,4
2002,BOS,brownke01,Did Not Play,0.49,other,1,4
2002,SAS,duncati01,Not With Team,8.71,other,1,4
2002,SAS,robinda01,Not With Team,4.27,other,1,4
2002,SEA,lewisra02,Did Not Dress,2.88,other,1,4
2002,SEA,willish01,Did Not Play,0.31,other,1,4
2002,NJN,collija04,Did Not Play,0.33,other,1,5
2002,SEA,lewisra02,Did Not Dress,2.88,other,1,5
2002,SAS,robinda01,Did Not Dress,4.27,other,1,5
2002,BOS,brownke01,Did Not Play,0.49,other,2,1
2002,SAS,robinda01,Did Not Dress,4.27,opponent,2,1
2002,CHH,magloja01,Player Suspended,1.23,other,2,1
2002,CHH,mashbja01,Not With Team,0.79,other,2,1
2002,SAC,pollasc01,Did Not Play,1.83,other,2,2
2002,SAS,robinda01,Did Not Dress,4.27,opponent,2,2
2002,CHH,mashbja01,Not With Team,0.79,other,2,2
2002,BOS,brownke01,Did Not Play,0.49,other,2,2
2002,CHH,mashbja01,Did Not Dress,0.79,other,2,3
2002,BOS,brownke01,Did Not Play,0.49,other,2,3
2002,SAC,stojape01,Did Not Play,1.59,other,2,4
2002,CHH,mashbja01,Not With Team,0.79,other,2,4
2002,SAC,stojape01,Did Not Dress,1.59,other,2,5
2002,BOS,brownke01,Did Not Play,0.49,other,2,5
2002,CHH,mashbja01,Not With Team,0.79,other,2,5
2002,SAC,stojape01,Did Not Dress,1.59,opponent,3,1
2002,BOS,brownke01,Did Not Play,0.49,other,3,1
2002,SAC,stojape01,Did Not Dress,1.59,opponent,3,2
2002,BOS,brownke01,Did Not Play,0.49,other,3,2
2002,SAC,stojape01,Did Not Dress,1.59,opponent,3,3
2002,BOS,brownke01,Did Not Play,0.49,other,3,3
2002,SAC,stojape01,Did Not Dress,1.59,opponent,3,4
2002,NJN,collija04,Did Not Play,0.33,other,3,4
2002,BOS,brownke01,Did Not Play,0.49,other,3,4
2002,BOS,brownke01,Did Not Play,0.49,other,3,5
2002,NJN,collija04,Did Not Play,0.33,other,3,6
2002,BOS,brownke01,Did Not Play,0.49,other,3,6
2003,MIL,smithjo02,Did Not Play,0.8,other,1,1
2003,NJN,mournal01,Did Not Play,2.77,other,1,1
2003,SAC,pollasc01,Did Not Play,1.45,other,1,1
2003,DET,princta01,Did Not Play,1.11,other,1,1
2003,SAS,robinda01,Did Not Dress,3.59,winner,1,2
2003,MIN,smithjo02,Did Not Play,0.8,other,1,2
2003,POR,pippesc01,Did Not Dress,1.72,other,1,2
2003,NOH,davisba01,Did Not Dress,2.65,other,1,2
2003,POR,anderde01,Did Not Dress,1.04,other,1,3
2003,POR,pippesc01,Did Not Dress,1.72,other,1,3
2003,NJN,mutomdi01,Did Not Play,0.52,other,1,4
2003,NOH,mashbja01,Did Not Dress,0.87,other,1,3
2003,DET,princta01,Did Not Play,1.11,other,1,4
2003,POR,anderde01,Did Not Dress,1.04,other,1,4
2003,POR,pippesc01,Did Not Dress,1.72,other,1,4
2003,POR,sabonar01,Did Not Dress,2.88,other,1,4
2003,PHI,buckngr01,Did Not Play,0.16,other,1,4
2003,NOH,mashbja01,Did Not Dress,0.87,other,1,4
2003,NJN,mutomdi01,Did Not Play,0.52,other,1,5
2003,POR,anderde01,Not With Team,1.04,other,1,5
2003,DET,willico02,Did Not Play,0.91,other,1,5
2003,PHI,buckngr01,Did Not Play,0.16,other,1,5
2003,NJN,mutomdi01,Did Not Play,0.52,other,1,6
2003,POR,anderde01,Did Not Dress,1.04,other,1,6
2003,POR,anderde01,Not With Team,1.04,other,1,7
2003,POR,davisda01,Did Not Play,0.86,other,1,7
2003,DET,willico02,Did Not Play,0.91,other,1,7
2003,NJN,mutomdi01,Did Not Play,0.52,other,2,1
2003,NJN,mutomdi01,Did Not Play,0.52,other,2,2
2003,LAL,georgde01,Did Not Dress,0.51,opponent,2,2
2003,DET,billuch01,Did Not Dress,1.5,other,2,2
2003,DET,billuch01,Did Not Dress,1.5,other,2,3
2003,SAC,pollasc01,Did Not Play,1.45,other,2,3
2003,SAC,webbech01,Did Not Dress,3.71,other,2,3
2003,SAC,webbech01,Did Not Dress,3.71,other,2,4
2003,NJN,mutomdi01,Did Not Play,0.52,other,2,4
2003,SAC,webbech01,Did Not Dress,3.71,other,2,5
2003,DET,billuch01,Did Not Dress,1.5,other,2,5
2003,SAC,pollasc01,Did Not Play,1.45,other,2,6
2003,SAC,webbech01,Did Not Dress,3.71,other,2,6
2003,DET,barryjo01,Did Not Play,2.29,other,2,6
2003,SAC,pollasc01,Did Not Play,1.45,other,2,7
2003,SAC,webbech01,Did Not Dress,3.71,other,2,7
2003,NJN,mutomdi01,Did Not Play,0.52,other,3,1
2003,DET,barryjo01,Did Not Play,2.29,other,3,1
2003,NJN,mutomdi01,Did Not Play,0.52,other,3,2
2003,DAL,najered01,Did Not Play,0.94,opponent,3,2
2003,DET,barryjo01,Did Not Play,2.29,other,3,3
2003,NJN,mutomdi01,Did Not Play,0.52,other,3,3
2003,NJN,mutomdi01,Did Not Play,0.52,other,3,4
2003,DAL,bradlsh01,Did Not Dress,2.77,opponent,3,4
2003,DAL,nowitdi01,Did Not Dress,5.87,opponent,3,4
2003,DAL,bradlsh01,Did Not Dress,2.77,opponent,3,5
2003,DAL,nowitdi01,Did Not Dress,5.87,opponent,3,5
2003,DAL,bradlsh01,Did Not Play,2.77,opponent,3,6
2003,DAL,nowitdi01,Did Not Dress,5.87,opponent,3,6
2004,SAC,jacksbo01,Did Not Dress,0.95,other,1,1
2004,IND,artesro01,Player Suspended,3.53,other,1,2
2004,DAL,bradlsh01,Did Not Play,2.26,other,1,2
2004,SAC,jacksbo01,Did Not Dress,0.95,other,1,2
2004,HOU,padgesc01,Did Not Play,0.65,other,1,3
2004,SAC,jacksbo01,Did Not Dress,0.95,other,1,3
2004,DAL,bradlsh01,Did Not Play,2.26,other,1,3
2004,NOH,traylro01,Did Not Play,0.46,other,1,3
2004,SAC,jacksbo01,Did Not Play,0.95,other,1,4
2004,DAL,bradlsh01,Did Not Play,2.26,other,1,4
2004,MIN,szczewa02,Did Not Dress,0.53,other,1,4
2004,DEN,bowenry01,Did Not Play,1.16,other,1,4
2004,NOH,traylro01,Did Not Play,0.46,other,1,4
2004,SAC,jacksbo01,Did Not Dress,0.95,other,1,5
2004,NOH,traylro01,Did Not Play,0.46,other,1,5
2004,MIN,szczewa02,Did Not Dress,0.53,other,1,5
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,1
2004,SAC,songada01,Did Not Play,0.51,other,2,1
2004,MIN,szczewa02,Did Not Dress,0.53,other,2,1
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,2
2004,SAC,songada01,Did Not Play,0.51,other,2,2
2004,MIN,szczewa02,Did Not Dress,0.53,other,2,2
