season,team,bbrID,reason,dpm,relation,round,game
2004,MIN,szczewa02,Did Not Dress,0.53,other,2,3
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,3
2004,SAC,songada01,Did Not Play,0.51,other,2,3
2004,MIN,szczewa02,Did Not Dress,0.53,other,2,4
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,4
2004,SAC,songada01,Did Not Play,0.51,other,2,4
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,5
2004,IND,jonesfr01,Did Not Play,0.56,other,2,5
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,6
2004,SAC,songada01,Did Not Play,0.51,other,2,6
2004,IND,jonesfr01,Did Not Play,0.56,other,2,6
2004,SAC,jacksbo01,Did Not Dress,0.95,other,2,7
2004,MIN,cassesa01,Did Not Dress,2.05,other,3,5
2004,MIN,cassesa01,Did Not Dress,2.05,other,3,6
2004,LAL,malonka01,Did Not Dress,0.71,opponent,4,5
2005,IND,tinslja01,Did Not Dress,2.31,other,1,1
2005,SAS,nestera01,Did Not Play,1.68,winner,1,1
2005,IND,tinslja01,Did Not Dress,2.31,other,1,2
2005,IND,tinslja01,Did Not Dress,2.31,other,1,3
2005,SAC,ostergr01,Did Not Play,1.28,other,1,3
2005,DAL,bradlsh01,Did Not Play,2.03,other,1,4
2005,DAL,vanhoke01,Did Not Dress,0.34,other,1,4
2005,IND,tinslja01,Did Not Dress,2.31,other,1,4
2005,SAC,ostergr01,Did Not Play,1.28,other,1,4
2005,DAL,bradlsh01,Did Not Play,2.03,other,1,5
2005,DAL,vanhoke01,Did Not Dress,0.34,other,1,5
2005,SAC,ostergr01,Did Not Play,1.28,other,1,5
2005,DEN,johnsde03,Did Not Play,0.65,opponent,1,5
2005,DAL,vanhoke01,Did Not Dress,0.34,other,1,6
2005,DAL,vanhoke01,Did Not Dress,0.34,other,1,7
2005,DAL,vanhoke01,Did Not Dress,0.34,other,2,1
2005,SEA,radmavl01,Did Not Dress,0.91,opponent,2,2
2005,DAL,bradlsh01,Did Not Play,2.03,other,2,2
2005,DAL,harride01,Did Not Play,0.27,other,2,2
2005,DAL,vanhoke01,Did Not Dress,0.34,other,2,2
2005,SEA,radmavl01,Inactive,0.91,opponent,2,3
2005,MIA,onealsh01,Did Not Dress,6.29,other,2,3
2005,PHO,johnsjo02,Not With Team,1.55,other,2,3
2005,DAL,vanhoke01,Did Not Dress,0.34,other,2,3
2005,MIA,onealsh01,Did Not Dress,6.29,other,2,4
2005,PHO,johnsjo02,Not With Team,1.55,other,2,4
2005,DAL,bradlsh01,Did Not Play,2.03,other,2,4
2005,DAL,harride01,Did Not Play,0.27,other,2,4
2005,DAL,vanhoke01,Did Not Dress,0.34,other,2,4
2005,SEA,lewisra02,Inactive,2.86,opponent,2,4
2005,SEA,radmavl01,Inactive,0.91,opponent,2,4
2005,SEA,lewisra02,Did Not Dress,2.86,opponent,2,5
2005,SEA,radmavl01,Not With Team,0.91,opponent,2,5
2005,SAS,nestera01,Did Not Play,1.68,winner,2,5
2005,DAL,bradlsh01,Did Not Play,2.03,other,2,5
2005,DAL,harride01,Did Not Play,0.27,other,2,5
2005,DAL,vanhoke01,Did Not Dress,0.34,other,2,5
2005,PHO,johnsjo02,Did Not Dress,1.55,other,2,5
2005,SAS,nestera01,Did Not Play,1.68,winner,2,6
2005,SEA,lewisra02,Inactive,2.86,opponent,2,6
2005,SEA,radmavl01,Inactive,0.91,opponent,2,6
2005,PHO,johnsjo02,Not With Team,1.55,other,2,6
2005,DAL,bradlsh01,Did Not Play,2.03,other,2,6
2005,DAL,harride01,Did Not Play,0.27,other,2,6
2005,DAL,vanhoke01,Did Not Dress,0.34,other,2,6
2005,PHO,johnsjo02,Did Not Dress,1.55,opponent,3,1
2005,PHO,johnsjo02,Did Not Dress,1.55,opponent,3,2
2005,SAS,nestera01,Did Not Play,1.68,winner,3,4
2005,SAS,nestera01,Did Not Play,1.68,winner,3,5
2005,MIA,wadedw01,Did Not Dress,3.47,other,3,6
2005,SAS,nestera01,Did Not Play,1.68,winner,4,5
2005,SAS,nestera01,Did Not Play,1.68,winner,4,6
2005,SAS,nestera01,Did Not Play,1.68,winner,4,7
2006,DEN,johnsde03,Did Not Play,0.96,other,1,1
2006,DEN,najered01,Did Not Play,0.26,other,1,1
2006,MIA,mournal01,Did Not Dress,2.81,winner,1,1
2006,IND,gilled01,Did Not Play,0.05,other,1,1
2006,IND,tinslja01,Inactive,0.8,other,1,1
2006,PHO,thomaku01,Did Not Dress,0.82,other,1,1
2006,PHO,stoudam01,Inactive,1.26,other,1,1
2006,MIA,hasleud01,Player Suspended,0.38,winner,1,2
2006,MIA,mournal01,Inactive,2.81,winner,1,2
2006,IND,stojape01,Inactive,1.55,other,1,2
2006,SAC,artesro01,Player Suspended,3.46,other,1,2
2006,PHO,thomaku01,Did Not Dress,0.82,other,1,2
2006,PHO,stoudam01,Inactive,1.26,other,1,2
2006,DEN,johnsde03,Did Not Play,0.96,other,1,3
2006,DEN,martike01,Inactive,1.5,other,1,3
2006,IND,tinslja01,Inactive,0.8,other,1,3
2006,PHO,thomaku01,Did Not Dress,0.82,other,1,3
2006,PHO,stoudam01,Inactive,1.26,other,1,3
2006,DEN,martike01,Inactive,1.5,other,1,4
2006,IND,gilled01,Did Not Play,0.05,other,1,4
2006,IND,stojape01,Did Not Dress,1.55,other,1,4
2006,IND,tinslja01,Inactive,0.8,other,1,4
2006,MEM,cardibr01,Did Not Play,1.08,other,1,3
2006,MIA,poseyja01,Player Suspended,0.76,winner,1,4
2006,PHO,thomaku01,Did Not Dress,0.82,other,1,4
2006,PHO,stoudam01,Inactive,1.26,other,1,4
2006,DEN,martike01,Inactive,1.5,other,1,5
2006,IND,fosteje01,Did Not Dress,2.8,other,1,5
2006,IND,gilled01,Did Not Play,0.05,other,1,5
2006,IND,pollasc01,Did Not Play,0.71,other,1,5
2006,IND,stojape01,Did Not Dress,1.55,other,1,5
2006,IND,tinslja01,Inactive,0.8,other,1,5
2006,PHO,thomaku01,Did Not Play,0.82,other,1,5
2006,PHO,stoudam01,Inactive,1.26,other,1,5
2006,IND,fosteje01,Did Not Play,2.8,other,1,6
2006,IND,gilled01,Did Not Play,0.05,other,1,6
2006,IND,pollasc01,Did Not Play,0.71,other,1,6
2006,IND,stojape01,Did Not Dress,1.55,other,1,6
2006,IND,tinslja01,Inactive,0.8,other,1,6
2006,PHO,thomaku01,Did Not Dress,0.82,other,1,6
2006,PHO,stoudam01,Inactive,1.26,other,1,6
2006,PHO,thomaku01,Did Not Dress,0.82,other,1,7
2006,PHO,stoudam01,Inactive,1.26,other,1,7
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,1
2006,PHO,stoudam01,Inactive,1.26,other,2,1
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,2
2006,PHO,stoudam01,Inactive,1.26,other,2,2
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,3
2006,PHO,stoudam01,Inactive,1.26,other,2,3
2006,SAS,nestera01,Did Not Play,1.35,other,2,3
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,4
2006,PHO,stoudam01,Inactive,1.26,other,2,4
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,5
2006,PHO,stoudam01,Inactive,1.26,other,2,5
2006,SAS,nestera01,Did Not Play,1.35,other,2,5
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,6
2006,PHO,stoudam01,Inactive,1.26,other,2,6
2006,SAS,nestera01,Did Not Play,1.35,other,2,6
2006,DAL,terryja01,Player Suspended,2.12,other,2,6
2006,PHO,thomaku01,Did Not Dress,0.82,other,2,7
2006,PHO,stoudam01,Inactive,1.26,other,2,7
2006,SAS,nestera01,Did Not Play,1.35,other,2,7
2006,PHO,thomaku01,Did Not Play,0.82,other,3,1
2006,DAL,diopde01,Did Not Play,0.59,other,3,1
2006,PHO,stoudam01,Inactive,1.26,other,3,1
2006,PHO,thomaku01,Did Not Play,0.82,other,3,2
2006,DAL,dampier01,Did Not Play,0.78,other,3,2
2006,PHO,stoudam01,Inactive,1.26,other,3,2
2006,DAL,dampier01,Did Not Play,0.78,other,3,3
2006,PHO,thomaku01,Did Not Play,0.82,other,3,3
2006,PHO,stoudam01,Inactive,1.26,other,3,3
2006,PHO,stoudam01,Inactive,1.26,other,3,4
2006,PHO,thomaku01,Did Not Play,0.82,other,3,5
2006,DAL,dampier01,Did Not Play,0.78,other,3,5
2006,PHO,stoudam01,Inactive,1.26,other,3,5
2006,DAL,dampier01,Did Not Play,0.78,other,3,6
2006,PHO,thomaku01,Did Not Play,0.82,other,3,6
2006,PHO,stoudam01,Inactive,1.26,other,3,6
2007,DET,johnsam01,Inactive,1.16,other,1,1
2007,UTA,brewero02,Did Not Play,0.7,other,1,1
2007,UTA,brownde03,Did Not Play,0.07,other,1,1
2007,NJN,krstine01,Inactive,0.09,other,1,1
2007,TOR,garbajo01,Inactive,0.6,other,1,1
2007,WAS,arenagi01,Inactive,4.02,other,1,1
2007,DEN,martike01,Inactive,1.36,opponent,1,1
2007,DET,johnsam01,Inactive,1.16,other,1,2
2007,UTA,brewero02,Did Not Play,0.7,other,1,2
2007,WAS,arenagi01,Inactive,4.02,other,1,2
2007,SAS,bonnema01,Did Not Play,0.05,winner,1,2
2007,DEN,martike01,Inactive,1.36,opponent,1,2
2007,DET,johnsam01,Inactive,1.16,other,1,3
2007,UTA,brewero02,Did Not Play,0.7,other,1,3
2007,UTA,brownde03,Did Not Play,0.07,other,1,3
2007,TOR,garbajo01,Inactive,0.6,other,1,3
2007,NJN,krstine01,Inactive,0.09,other,1,3
2007,SAS,bonnema01,Did Not Play,0.05,winner,1,3
2007,DEN,martike01,Inactive,1.36,opponent,1,3
2007,DET,johnsam01,Inactive,1.16,other,1,4
2007,WAS,arenagi01,Inactive,4.02,other,1,3
2007,MIA,jonesed02,Did Not Play,0.76,other,1,4
2007,TOR,garbajo01,Inactive,0.6,other,1,4
2007,NJN,krstine01,Inactive,0.09,other,1,4
2007,SAS,bonnema01,Did Not Play,0.05,winner,1,4
2007,DEN,martike01,Inactive,1.36,opponent,1,4
2007,UTA,brewero02,Did Not Play,0.7,other,1,5
2007,UTA,brownde03,Did Not Play,0.07,other,1,5
2007,WAS,haywobr01,Did Not Play,0.75,other,1,4
2007,WAS,arenagi01,Inactive,4.02,other,1,4
2007,NJN,krstine01,Inactive,0.09,other,1,5
2007,TOR,garbajo01,Inactive,0.6,other,1,5
2007,DEN,martike01,Inactive,1.36,opponent,1,5
2007,DAL,dampier01,Did Not Play,1.11,other,1,6
2007,UTA,brewero02,Did Not Play,0.7,other,1,6
2007,UTA,brownde03,Did Not Play,0.07,other,1,6
2007,TOR,nestera01,Did Not Play,0.62,other,1,6
2007,TOR,garbajo01,Inactive,0.6,other,1,6
2007,NJN,krstine01,Inactive,0.09,other,1,6
2007,DET,johnsam01,Inactive,1.16,other,2,1
2007,UTA,brewero02,Did Not Play,0.7,other,1,7
2007,UTA,brownde03,Did Not Play,0.07,other,1,7
2007,NJN,krstine01,Inactive,0.09,other,2,1
2007,SAS,bonnema01,Did Not Play,0.05,winner,2,1
2007,DET,johnsam01,Inactive,1.16,other,2,2
2007,UTA,fishede01,Inactive,1.56,other,2,1
2007,NJN,krstine01,Inactive,0.09,other,2,2
2007,DET,johnsam01,Inactive,1.16,other,2,3
2007,UTA,brownde03,Inactive,0.07,other,2,3
2007,NJN,krstine01,Inactive,0.09,other,2,3
2007,SAS,bonnema01,Did Not Play,0.05,winner,2,3
2007,DET,johnsam01,Inactive,1.16,other,2,4
2007,UTA,brownde03,Inactive,0.07,other,2,4
2007,NJN,krstine01,Inactive,0.09,other,2,4
2007,DET,johnsam01,Inactive,1.16,other,2,5
2007,UTA,brewero02,Did Not Play,0.7,other,2,5
2007,NJN,krstine01,Inactive,0.09,other,2,5
2007,SAS,horryro01,Player Suspended,0.77,winner,2,5
2007,PHO,stoudam01,Player Suspended,1.92,opponent,2,5
2007,DET,johnsam01,Inactive,1.16,other,2,6
2007,NJN,krstine01,Inactive,0.09,other,2,6
2007,SAS,horryro01,Did Not Play,0.77,winner,2,6
2007,UTA,brewero02,Did Not Play,0.7,opponent,3,1
2007,UTA,brownde03,Did Not Play,0.07,opponent,3,1
2007,SAS,bonnema01,Did Not Play,0.05,winner,3,1
2007,DET,johnsam01,Inactive,1.16,other,3,1
2007,UTA,brewero02,Did Not Play,0.7,opponent,3,2
2007,UTA,brownde03,Did Not Play,0.07,opponent,3,2
2007,DET,johnsam01,Inactive,1.16,other,3,2
2007,DET,johnsam01,Inactive,1.16,other,3,3
2007,SAS,bonnema01,Did Not Play,0.05,winner,3,4
2007,DET,johnsam01,Inactive,1.16,other,3,4
2007,DET,johnsam01,Inactive,1.16,other,3,5
2007,DET,johnsam01,Inactive,1.16,other,3,6
2007,SAS,bonnema01,Did Not Play,0.05,winner,4,1
2007,SAS,bonnema01,Did Not Play,0.05,winner,4,2
2007,SAS,bonnema01,Did Not Play,0.05,winner,4,3
2007,SAS,bonnema01,Did Not Play,0.05,winner,4,4
2008,HOU,alstora01,Inactive,0.42,other,1,1
2008,HOU,mingya01,Inactive,3.03,other,1,1
2008,NOH,anderch01,Inactive,0.58,other,1,1
2008,SAS,horryro01,Did Not Play,0.06,other,1,1
2008,DET,johnsam01,Did Not Play,1.62,other,1,1
2008,DEN,hilarne01,Did Not Play,1.84,other,1,1
2008,TOR,garbajo01,Inactive,0.11,other,1,1
2008,UTA,milescj01,Did Not Play,0.48,other,1,2
2008,HOU,alstora01,Inactive,0.42,other,1,2
2008,HOU,mingya01,Inactive,3.03,other,1,2
2008,NOH,anderch01,Inactive,0.58,other,1,2
2008,TOR,garbajo01,Inactive,0.11,other,1,2
2008,LAL,arizatr01,Inactive,1.19,other,1,2
2008,LAL,bynuman01,Inactive,1.04,other,1,2
2008,TOR,garbajo01,Inactive,0.11,other,1,3
2008,HOU,headlu01,Did Not Play,0.21,other,1,3
2008,UTA,milescj01,Did Not Play,0.48,other,1,3
2008,HOU,mingya01,Inactive,3.03,other,1,3
2008,NOH,anderch01,Inactive,0.58,other,1,3
2008,LAL,arizatr01,Inactive,1.19,other,1,3
2008,LAL,bynuman01,Inactive,1.04,other,1,3
2008,TOR,garbajo01,Inactive,0.11,other,1,4
2008,UTA,milescj01,Did Not Play,0.48,other,1,4
2008,HOU,mingya01,Inactive,3.03,other,1,4
2008,NOH,anderch01,Inactive,0.58,other,1,4
2008,DET,johnsam01,Did Not Play,1.62,other,1,4
2008,PHO,hillgr01,Did Not Play,0.62,other,1,4
2008,BOS,allento01,Did Not Play,0.17,winner,1,4
2008,LAL,arizatr01,Inactive,1.19,other,1,4
2008,LAL,bynuman01,Inactive,1.04,other,1,4
2008,TOR,garbajo01,Inactive,0.11,other,1,5
2008,HOU,mingya01,Inactive,3.03,other,1,5
2008,NOH,anderch01,Inactive,0.58,other,1,5
2008,PHO,hillgr01,Inactive,0.62,other,1,5
2008,WAS,arenagi01,Did Not Dress,3.54,other,1,5
2008,HOU,mingya01,Inactive,3.03,other,1,6
2008,WAS,arenagi01,Did Not Dress,3.54,other,1,6
2008,NOH,anderch01,Inactive,0.58,other,2,1
2008,LAL,arizatr01,Inactive,1.19,other,2,1
2008,LAL,bynuman01,Inactive,1.04,other,2,1
2008,DET,johnsam01,Did Not Play,1.62,other,2,2
2008,NOH,anderch01,Inactive,0.58,other,2,2
2008,LAL,arizatr01,Inactive,1.19,other,2,2
2008,LAL,bynuman01,Inactive,1.04,other,2,2
2008,NOH,anderch01,Inactive,0.58,other,2,3
2008,UTA,milescj01,Did Not Play,0.48,other,2,3
2008,LAL,arizatr01,Inactive,1.19,other,2,3
2008,LAL,bynuman01,Inactive,1.04,other,2,3
2008,DET,billuch01,Inactive,2.96,other,2,4
2008,DET,johnsam01,Inactive,1.62,other,2,4
2008,NOH,anderch01,Inactive,0.58,other,2,4
2008,UTA,milescj01,Did Not Play,0.48,other,2,4
2008,LAL,arizatr01,Inactive,1.19,other,2,4
2008,LAL,bynuman01,Inactive,1.04,other,2,4
2008,BOS,allento01,Did Not Play,0.17,winner,2,4
2008,DET,billuch01,Inactive,2.96,other,2,5
2008,DET,johnsam01,Inactive,1.62,other,2,5
2008,NOH,anderch01,Inactive,0.58,other,2,5
2008,BOS,allento01,Did Not Play,0.17,winner,2,5
2008,LAL,arizatr01,Inactive,1.19,other,2,5
2008,LAL,bynuman01,Inactive,1.04,other,2,5
2008,NOH,anderch01,Inactive,0.58,other,2,6
2008,BOS,allento01,Did Not Play,0.17,winner,2,6
2008,CLE,gibsoda01,Inactive,0.33,opponent,2,6
2008,LAL,arizatr01,Inactive,1.19,other,2,6
2008,LAL,bynuman01,Inactive,1.04,other,2,6
2008,BOS,allento01,Did Not Play,0.17,winner,2,7
2008,CLE,gibsoda01,Inactive,0.33,opponent,2,7
2008,NOH,wrighju01,Did Not Play,1.01,other,2,7
2008,NOH,anderch01,Inactive,0.58,other,2,7
2008,DET,johnsam01,Did Not Play,1.62,opponent,3,1
2008,LAL,arizatr01,Inactive,1.19,other,3,1
2008,LAL,bynuman01,Inactive,1.04,other,3,1
2008,DET,johnsam01,Did Not Play,1.62,opponent,3,2
2008,LAL,bynuman01,Inactive,1.04,other,3,2
2008,BOS,allento01,Did Not Play,0.17,winner,3,3
2008,LAL,bynuman01,Inactive,1.04,other,3,3
2008,LAL,bynuman01,Inactive,1.04,other,3,4
2008,DET,johnsam01,Did Not Play,1.62,opponent,3,5
2008,BOS,allento01,Inactive,0.17,winner,3,5
2008,SAS,horryro01,Did Not Play,0.06,other,3,5
2008,SAS,udokaim01,Did Not Play,1.01,other,3,5
2008,LAL,arizatr01,Did Not Play,1.19,other,3,5
2008,LAL,bynuman01,Inactive,1.04,other,3,5
