season,team,bbrID,reason,dpm,amount,relation,round,game,mp,mpSeason
2001,TOR,willije01,Low Minutes,2.01,0.85,other,2,1,2.93,20
2002,SAS,robinda01,Low Minutes,4.27,0.76,other,1,1,7.18,29.5
2002,MIN,smithjo02,Low Minutes,1.76,0.72,other,1,1,7.53,26.7
2002,SAC,pollasc01,Low Minutes,1.83,0.83,other,2,1,4.07,23.5
2002,DET,barryjo01,Low Minutes,1.55,0.82,other,2,3,4.37,24.2
2002,SAC,pollasc01,Low Minutes,1.83,0.82,other,2,5,4.25,23.5
2002,SAC,pollasc01,Low Minutes,1.83,0.72,opponent,3,3,6.6,23.5
2003,SAC,webbech01,Low Minutes,3.71,0.68,other,1,2,12.55,39.1
2003,POR,anderde01,Low Minutes,1.04,0.91,other,1,2,2.87,33.6
2003,PHO,outlabo01,Low Minutes,1.67,0.89,opponent,1,3,2.53,22.5
2003,IND,millebr01,Low Minutes,2.25,0.67,other,1,5,10.27,31.1
2003,UTA,ostergr01,Low Minutes,2.46,0.76,other,1,5,5.6,23.8
2003,POR,pippesc01,Low Minutes,1.72,0.78,other,1,6,6.58,29.9
2003,DAL,bradlsh01,Low Minutes,2.77,0.77,other,2,1,4.98,21.4
2003,DAL,bradlsh01,Low Minutes,2.77,0.98,other,2,3,0.38,21.4
2003,DAL,bradlsh01,Low Minutes,2.77,0.67,other,2,6,6.97,21.4
2003,DAL,bradlsh01,Low Minutes,2.77,0.73,opponent,3,2,5.88,21.4
2003,DAL,bradlsh01,Low Minutes,2.77,0.81,opponent,3,3,4.05,21.4
2004,LAL,georgde01,Low Minutes,1.09,0.75,other,1,2,6.02,23.8
2004,SAC,divacvl01,Low Minutes,2.44,0.87,other,1,5,3.65,28.6
2004,MIN,cassesa01,Low Minutes,2.05,0.98,other,3,2,0.72,35
2004,MIN,cassesa01,Low Minutes,2.05,0.86,other,3,4,4.93,35
2004,IND,fosteje01,Low Minutes,2.77,0.87,opponent,3,4,3.05,23.9
2004,IND,fosteje01,Low Minutes,2.77,0.85,opponent,3,5,3.57,23.9
2004,IND,tinslja01,Low Minutes,1.58,0.87,opponent,3,6,3.53,26.5
2004,IND,fosteje01,Low Minutes,2.77,0.90,opponent,3,6,2.37,23.9
2005,SAC,millebr01,Low Minutes,3.38,0.76,other,1,1,9.07,37.3
2005,IND,fosteje01,Low Minutes,2.57,0.69,other,1,2,8.22,26.1
2005,MEM,cardibr01,Low Minutes,1.07,0.74,other,1,4,6.48,24.7
2005,SAS,nestera01,Low Minutes,1.68,0.95,winner,1,5,1.2,25.5
2005,SEA,allenra02,Low Minutes,3.11,0.67,opponent,2,1,12.88,39.3
2005,SAS,nestera01,Low Minutes,1.68,0.95,winner,2,2,1.15,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.83,winner,2,3,4.42,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.83,winner,3,1,4.38,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.87,winner,3,2,3.32,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.91,winner,3,3,2.4,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.98,winner,4,1,0.58,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.87,winner,4,2,3.43,25.5
2005,SAS,nestera01,Low Minutes,1.68,0.70,winner,4,3,7.63,25.5
2006,DEN,martike01,Low Minutes,1.5,0.75,other,1,2,6.92,27.6
2006,MEM,jonesed02,Low Minutes,2.95,0.85,other,1,4,4.73,32.5
2006,CHI,chandty01,Low Minutes,1.27,0.82,opponent,1,5,4.88,26.8
