season,winner,gameCount,winnerGameCount,dnpCountDpmGt0,oppDpmGte1,winnerDpmGte1,winnerLowMinutesDPMGte1,oppLowMinutesDPMGte1,fieldDpmGte1,fieldLowMinutesDPMGte1
2001,LAL,71,16,43,4.64,0.00,0.00,0.00,18.86,1.71
2002,LAL,71,19,46,14.90,0.00,0.00,1.32,53.85,10.12
2003,SAS,88,24,56,25.92,3.59,0.00,5.75,86.11,20.64
2004,DET,82,23,37,0.00,0.00,0.00,8.63,15.57,15.34
2005,SAS,84,23,53,11.68,13.44,13.26,2.08,72.63,20.47
2006,MIA,89,23,78,0.00,5.62,10.26,1.04,59.18,16.81
2007,SAS,79,20,78,8.72,0.00,0.00,0.00,46.03,3.78
2008,BOS,86,26,97,13.91,0.00,0.00,0.00,84.70,6.53
2009,LAL,85,23,125,30.69,1.67,0.00,0.00,251.01,6.98
2010,LAL,82,23,71,9.43,0.00,0.00,1.31,83.93,1.31
2011,DAL,81,21,80,13.91,0.00,0.00,0.00,57.34,2.73
2012,MIA,84,23,118,16.60,23.76,0.00,0.00,118.35,10.92
2013,MIA,85,23,108,36.13,5.47,0.00,3.87,172.43,3.87
2014,SAS,89,23,79,6.11,0.00,0.00,0.00,79.55,0.00
2015,GSW,81,21,128,45.56,4.68,2.06,2.72,189.34,11.20
2016,CLE,86,21,116,14.61,6.53,0.00,0.00,166.04,1.03
2017,GSW,79,17,77,32.55,16.33,0.00,0.00,128.18,16.14
2018,GSW,82,21,173,71.00,54.96,0.00,0.00,277.67,10.31
2019,TOR,82,24,101,27.18,0.00,0.00,1.04,167.30,3.52
2020,LAL,83,21,111,12.30,0.00,0.00,0.00,109.19,4.98
2021,MIL,85,23,156,31.17,14.62,0.00,4.80,224.27,22.28
2022,GSW,87,22,152,25.29,24.97,1.93,1.56,188.58,9.25
2023,DEN,84,20,126,14.73,0.00,0.00,0.00,116.43,6.42
2024,BOS,82,19,151,45.17,39.24,0.00,0.00,244.02,3.46
2025,OKC,84,23,124,12.21,14.05,9.65,2.66,97.01,18.08
2026,NYK,85,19,135,2.58,9.77,0.00,0.00,165.55,2.76
